Round Number,Number of Alive Sheep
0,15
1,15
2,14
3,14
4,14
5,14
6,13
7,13
8,13
9,12
10,12
11,12
12,11
13,11
14,11
15,11
16,11
17,11
18,10
19,10
20,10
21,10
22,9
23,9
24,9
25,9
26,9
27,9
28,9
29,8
30,8
31,8
32,8
33,8
34,8
35,8
36,8
37,8
38,8
39,8
40,8
41,8
42,8
43,7
44,7
45,7
46,6
47,6
48,6
49,6
0,15
1,15
2,15
3,15
4,14
5,14
6,14
7,14
8,13
9,13
10,13
11,13
12,13
13,12
14,12
15,12
16,12
17,11
18,11
19,11
20,11
21,11
22,11
23,11
24,10
25,10
26,10
27,10
28,10
29,10
30,10
31,10
32,9
33,9
34,9
35,9
36,8
37,8
38,8
39,8
40,8
41,7
42,7
43,7
44,7
45,7
46,7
47,6
48,6
49,6
0,15
0,15
1,15
2,15
3,14
4,14
5,14
6,14
7,14
8,13
9,13
10,13
11,13
12,12
13,12
14,12
15,12
16,12
17,11
18,11
19,11
20,11
21,10
22,10
23,10
24,10
25,10
26,10
27,10
28,9
29,9
30,9
31,9
32,9
33,9
34,9
35,9
36,9
37,9
38,9
39,8
40,8
41,8
42,7
43,6
44,6
45,6
46,6
47,6
48,6
49,6
0,15
1,15
2,14
3,13
4,13
5,13
6,12
7,12
8,12
9,12
10,11
11,11
12,11
13,11
14,11
15,10
16,10
17,10
18,10
19,10
20,10
21,9
22,9
23,9
24,9
25,9
26,8
27,8
28,8
29,8
30,8
31,8
32,8
33,8
34,8
35,8
36,8
37,8
38,8
39,7
40,7
41,7
42,7
43,7
44,7
45,7
46,6
47,6
48,6
49,6
